zuerich.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 2019106004 900 1800 6048000 3600
7x7.zuerich.	3600	in	ns	ns.hostpoint.ch.
7x7.zuerich.	3600	in	ns	ns2.hostpoint.ch.
7x7.zuerich.	3600	in	ns	ns3.hostpoint.ch.
7x7taxi.zuerich.	3600	in	ns	ns.hostpoint.ch.
7x7taxi.zuerich.	3600	in	ns	ns2.hostpoint.ch.
7x7taxi.zuerich.	3600	in	ns	ns3.hostpoint.ch.
8304.zuerich.	3600	in	ds	19011 13 2 B0D1B591358FB9B178DF654B82EDBFCCD412FD5213AD5C6EE9BB24E85E00E53F
8304.zuerich.	3600	in	ns	dns1.swizzonic.ch.
8304.zuerich.	3600	in	ns	dns2.swizzonic.ch.
8304.zuerich.	3600	in	rrsig	DS 8 2 3600 20240926133722 20240827120722 52075 zuerich. RNat/WKB7TjJ+r0fWp4VLBeThZKfRKkgnuRLD6JqA1d5HdyH8GTm9zey0eFF3ZVUL47FIh7CtT2lf2RM5a4rxMu6GG4s8aTwFwc2SxY0MZWZy4KuuRDNn7B8TO+qnb1xlcMlTyUK7xXhd3N1kEH2i9O2MUI5OCkmS6hoCESg3L8=
8gvfd4ap6je6j6r6vq22q43qn2lnhstt.zuerich.	900	in	nsec3	1 1 0 - 8JJMNRQ5B2LH3E4OSEC8GIHAO98CFFRS NS DS RRSIG
8gvfd4ap6je6j6r6vq22q43qn2lnhstt.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. ZrownPbduSv+kC0x4tnMO76V+RARG/a4zdVIVbHRF+zp9KmyqKTGXhTrKMyEGec62CEwredkIn4E2V0VIiaRNzpUEtu0aoRcxBj7jDto7bxd/FedwBcmvTF6u9+5qZqdHVgZF5IPkN13rUxQPBl4Yh9VBQEkeXNAl+KJH6MTSiw=
8jjmnrq5b2lh3e4osec8gihao98cffrs.zuerich.	900	in	nsec3	1 1 0 - 9F2UMO0JHCVHBHL9S12D5N06KHR5KMKQ NS DS RRSIG
8jjmnrq5b2lh3e4osec8gihao98cffrs.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. HS1IGDHC5H3qILEB39QBlE78WEx5igpF+IOFvuTMgWozWuZS3t9afQjJ/HwWBqPaiQDieedxxe3r9VyotGTyoVW5+TR99q+wpCCEBHhI/v8h0c4//giDK1q2khT92YoYWwOGwqSIBCOWiKw236uj44djQXRQoIZkoiJj4fw1Qhk=
9f2umo0jhcvhbhl9s12d5n06khr5kmkq.zuerich.	900	in	nsec3	1 1 0 - 9K7IQ4R83QOJP190AT8ASQBUR4QA1OGH NS DS RRSIG
9f2umo0jhcvhbhl9s12d5n06khr5kmkq.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. it94vn9FJC9VABis0/4CyRrWrxKZtHAiRZyeAp7LrupMr63oN2qClvFlRxslVlAlNrAEtPXm2QdZTWbV/2z2c2IFxPu7spfZmYqhlSrmNva96RfZGkgu8BEuuam2RRIIJ21YG2kedwFTKHpMU4RXwF0tRAEfgznMnCcrIoxX4Dk=
